:======================================================================:
|     Appendix A List of MS-DRGs Version 36.0     |
412 07  P  CHOLECYSTECTOMY WITH C.D.E. WITH CC
413 07  P  CHOLECYSTECTOMY WITH C.D.E. WITHOUT CC/MCC
414 07  P  CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH MCC
415 07  P  CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITH CC
416 07  P  CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE WITHOUT C.D.E. WITHOUT CC/MCC
417 07  P  LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH MCC
418 07  P  LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITH CC
419 07  P  LAPAROSCOPIC CHOLECYSTECTOMY WITHOUT C.D.E. WITHOUT CC/MCC
420 07  P  HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH MCC
421 07  P  HEPATOBILIARY DIAGNOSTIC PROCEDURES WITH CC
422 07  P  HEPATOBILIARY DIAGNOSTIC PROCEDURES WITHOUT CC/MCC
423 07  P  OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH MCC
424 07  P  OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITH CC
425 07  P  OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES WITHOUT CC/MCC
432 07  M  CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH MCC
433 07  M  CIRRHOSIS AND ALCOHOLIC HEPATITIS WITH CC
434 07  M  CIRRHOSIS AND ALCOHOLIC HEPATITIS WITHOUT CC/MCC
435 07  M  MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH MCC
436 07  M  MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITH CC
437 07  M  MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS WITHOUT CC/MCC
438 07  M  DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH MCC
439 07  M  DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITH CC
440 07  M  DISORDERS OF PANCREAS EXCEPT MALIGNANCY WITHOUT CC/MCC
441 07  M  DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC
442 07  M  DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH CC
443 07  M  DISORDERS OF LIVER EXCEPT MALIGNANCY, CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC
444 07  M  DISORDERS OF THE BILIARY TRACT WITH MCC
445 07  M  DISORDERS OF THE BILIARY TRACT WITH CC
446 07  M  DISORDERS OF THE BILIARY TRACT WITHOUT CC/MCC
453 08  P  COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITH MCC
454 08  P  COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITH CC
455 08  P  COMBINED ANTERIOR/POSTERIOR SPINAL FUSION WITHOUT CC/MCC
456 08  P  SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH MCC
457 08  P  SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITH CC
458 08  P  SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC
459 08  P  SPINAL FUSION EXCEPT CERVICAL WITH MCC
460 08  P  SPINAL FUSION EXCEPT CERVICAL WITHOUT MCC
461 08  P  BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITH MCC
462 08  P  BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC
463 08  P  WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC
464 08  P  WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC
465 08  P  WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
466 08  P  REVISION OF HIP OR KNEE REPLACEMENT WITH MCC
467 08  P  REVISION OF HIP OR KNEE REPLACEMENT WITH CC
468 08  P  REVISION OF HIP OR KNEE REPLACEMENT WITHOUT CC/MCC
469 08  P  MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITH MCC OR TOTAL ANKLE REPLACEMENT
470 08  P  MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC
471 08  P  CERVICAL SPINAL FUSION WITH MCC
472 08  P  CERVICAL SPINAL FUSION WITH CC
473 08  P  CERVICAL SPINAL FUSION WITHOUT CC/MCC
474 08  P  AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC
475 08  P  AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC
476 08  P  AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
477 08  P  BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
478 08  P  BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC
479 08  P  BIOPSIES OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC
480 08  P  HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH MCC
481 08  P  HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITH CC
482 08  P  HIP AND FEMUR PROCEDURES EXCEPT MAJOR JOINT WITHOUT CC/MCC
483 08  P  MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES
485 08  P  KNEE PROCEDURES WITH PDX OF INFECTION WITH MCC
486 08  P  KNEE PROCEDURES WITH PDX OF INFECTION WITH CC
487 08  P  KNEE PROCEDURES WITH PDX OF INFECTION WITHOUT CC/MCC
488 08  P  KNEE PROCEDURES WITHOUT PDX OF INFECTION WITH CC/MCC
489 08  P  KNEE PROCEDURES WITHOUT PDX OF INFECTION WITHOUT CC/MCC
492 08  P  LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH MCC
493 08  P  LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITH CC
494 08  P  LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP, FOOT AND FEMUR WITHOUT CC/MCC
495 08  P  LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH MCC
496 08  P  LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC
497 08  P  LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITHOUT CC/MCC
498 08  P  LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC
499 08  P  LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITHOUT CC/MCC
500 08  P  SOFT TISSUE PROCEDURES WITH MCC
501 08  P  SOFT TISSUE PROCEDURES WITH CC
502 08  P  SOFT TISSUE PROCEDURES WITHOUT CC/MCC
503 08  P  FOOT PROCEDURES WITH MCC
504 08  P  FOOT PROCEDURES WITH CC
505 08  P  FOOT PROCEDURES WITHOUT CC/MCC
506 08  P  MAJOR THUMB OR JOINT PROCEDURES
507 08  P  MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITH CC/MCC
508 08  P  MAJOR SHOULDER OR ELBOW JOINT PROCEDURES WITHOUT CC/MCC
509 08  P  ARTHROSCOPY
510 08  P  SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH MCC
511 08  P  SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITH CC
512 08  P  SHOULDER, ELBOW OR FOREARM PROCEDURES, EXCEPT MAJOR JOINT PROCEDURES WITHOUT CC/MCC
513 08  P  HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITH CC/MCC
514 08  P  HAND OR WRIST PROCEDURES, EXCEPT MAJOR THUMB OR JOINT PROCEDURES WITHOUT CC/MCC
515 08  P  OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH MCC
516 08  P  OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC
517 08  P  OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC
518 08  P  BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH MCC OR DISC DEVICE OR NEUROSTIMULATOR
519 08  P  BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC
520 08  P  BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC
533 08  M  FRACTURES OF FEMUR WITH MCC
534 08  M  FRACTURES OF FEMUR WITHOUT MCC
535 08  M  FRACTURES OF HIP AND PELVIS WITH MCC
536 08  M  FRACTURES OF HIP AND PELVIS WITHOUT MCC
537 08  M  SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITH CC/MCC
538 08  M  SPRAINS, STRAINS, AND DISLOCATIONS OF HIP, PELVIS AND THIGH WITHOUT CC/MCC
539 08  M  OSTEOMYELITIS WITH MCC
540 08  M  OSTEOMYELITIS WITH CC
541 08  M  OSTEOMYELITIS WITHOUT CC/MCC
542 08  M  PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH MCC
543 08  M  PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC
544 08  M  PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITHOUT CC/MCC
545 08  M  CONNECTIVE TISSUE DISORDERS WITH MCC
546 08  M  CONNECTIVE TISSUE DISORDERS WITH CC
547 08  M  CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
548 08  M  SEPTIC ARTHRITIS WITH MCC
549 08  M  SEPTIC ARTHRITIS WITH CC
550 08  M  SEPTIC ARTHRITIS WITHOUT CC/MCC
551 08  M  MEDICAL BACK PROBLEMS WITH MCC
552 08  M  MEDICAL BACK PROBLEMS WITHOUT MCC
553 08  M  BONE DISEASES AND ARTHROPATHIES WITH MCC
554 08  M  BONE DISEASES AND ARTHROPATHIES WITHOUT MCC
555 08  M  SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
556 08  M  SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC
557 08  M  TENDONITIS, MYOSITIS AND BURSITIS WITH MCC
558 08  M  TENDONITIS, MYOSITIS AND BURSITIS WITHOUT MCC
559 08  M  AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH MCC
560 08  M  AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITH CC
561 08  M  AFTERCARE, MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT CC/MCC
562 08  M  FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITH MCC
563 08  M  FRACTURE, SPRAIN, STRAIN AND DISLOCATION EXCEPT FEMUR, HIP, PELVIS AND THIGH WITHOUT MCC
564 08  M  OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH MCC
565 08  M  OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC
566 08  M  OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC
570 09  P  SKIN DEBRIDEMENT WITH MCC
571 09  P  SKIN DEBRIDEMENT WITH CC
572 09  P  SKIN DEBRIDEMENT WITHOUT CC/MCC
573 09  P  SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH MCC
574 09  P  SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC
575 09  P  SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
576 09  P  SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH MCC
577 09  P  SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITH CC
578 09  P  SKIN GRAFT EXCEPT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
579 09  P  OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH MCC
580 09  P  OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC
581 09  P  OTHER SKIN, SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITHOUT CC/MCC
582 09  P  MASTECTOMY FOR MALIGNANCY WITH CC/MCC
583 09  P  MASTECTOMY FOR MALIGNANCY WITHOUT CC/MCC
584 09  P  BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITH CC/MCC
585 09  P  BREAST BIOPSY, LOCAL EXCISION AND OTHER BREAST PROCEDURES WITHOUT CC/MCC
592 09  M  SKIN ULCERS WITH MCC
593 09  M  SKIN ULCERS WITH CC
594 09  M  SKIN ULCERS WITHOUT CC/MCC
595 09  M  MAJOR SKIN DISORDERS WITH MCC
596 09  M  MAJOR SKIN DISORDERS WITHOUT MCC
597 09  M  MALIGNANT BREAST DISORDERS WITH MCC
598 09  M  MALIGNANT BREAST DISORDERS WITH CC
599 09  M  MALIGNANT BREAST DISORDERS WITHOUT CC/MCC
600 09  M  NON-MALIGNANT BREAST DISORDERS WITH CC/MCC
601 09  M  NON-MALIGNANT BREAST DISORDERS WITHOUT CC/MCC
602 09  M  CELLULITIS WITH MCC
603 09  M  CELLULITIS WITHOUT MCC
604 09  M  TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITH MCC
605 09  M  TRAUMA TO THE SKIN, SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC
606 09  M  MINOR SKIN DISORDERS WITH MCC
607 09  M  MINOR SKIN DISORDERS WITHOUT MCC
614 10  P  ADRENAL AND PITUITARY PROCEDURES WITH CC/MCC
615 10  P  ADRENAL AND PITUITARY PROCEDURES WITHOUT CC/MCC
616 10  P  AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC
617 10  P  AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC
618 10  P  AMPUTATION OF LOWER LIMB FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC
619 10  P  O.R. PROCEDURES FOR OBESITY WITH MCC
620 10  P  O.R. PROCEDURES FOR OBESITY WITH CC
621 10  P  O.R. PROCEDURES FOR OBESITY WITHOUT CC/MCC
622 10  P  SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH MCC
623 10  P  SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITH CC
624 10  P  SKIN GRAFTS AND WOUND DEBRIDEMENT FOR ENDOCRINE, NUTRITIONAL AND METABOLIC DISORDERS WITHOUT CC/MCC
625 10  P  THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH MCC
626 10  P  THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITH CC
627 10  P  THYROID, PARATHYROID AND THYROGLOSSAL PROCEDURES WITHOUT CC/MCC
628 10  P  OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC
629 10  P  OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC
630 10  P  OTHER ENDOCRINE, NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITHOUT CC/MCC
637 10  M  DIABETES WITH MCC
638 10  M  DIABETES WITH CC
639 10  M  DIABETES WITHOUT CC/MCC
640 10  M  MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC
641 10  M  MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC
642 10  M  INBORN AND OTHER DISORDERS OF METABOLISM
643 10  M  ENDOCRINE DISORDERS WITH MCC
644 10  M  ENDOCRINE DISORDERS WITH CC
645 10  M  ENDOCRINE DISORDERS WITHOUT CC/MCC
652 11  P  KIDNEY TRANSPLANT
653 11  P  MAJOR BLADDER PROCEDURES WITH MCC
654 11  P  MAJOR BLADDER PROCEDURES WITH CC
655 11  P  MAJOR BLADDER PROCEDURES WITHOUT CC/MCC
656 11  P  KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH MCC
657 11  P  KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITH CC
658 11  P  KIDNEY AND URETER PROCEDURES FOR NEOPLASM WITHOUT CC/MCC
659 11  P  KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH MCC
660 11  P  KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITH CC
661 11  P  KIDNEY AND URETER PROCEDURES FOR NON-NEOPLASM WITHOUT CC/MCC
662 11  P  MINOR BLADDER PROCEDURES WITH MCC
663 11  P  MINOR BLADDER PROCEDURES WITH CC
664 11  P  MINOR BLADDER PROCEDURES WITHOUT CC/MCC
665 11  P  PROSTATECTOMY WITH MCC
666 11  P  PROSTATECTOMY WITH CC
667 11  P  PROSTATECTOMY WITHOUT CC/MCC
668 11  P  TRANSURETHRAL PROCEDURES WITH MCC
669 11  P  TRANSURETHRAL PROCEDURES WITH CC
670 11  P  TRANSURETHRAL PROCEDURES WITHOUT CC/MCC
671 11  P  URETHRAL PROCEDURES WITH CC/MCC
672 11  P  URETHRAL PROCEDURES WITHOUT CC/MCC
673 11  P  OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH MCC
674 11  P  OTHER KIDNEY AND URINARY TRACT PROCEDURES WITH CC
675 11  P  OTHER KIDNEY AND URINARY TRACT PROCEDURES WITHOUT CC/MCC
682 11  M  RENAL FAILURE WITH MCC
683 11  M  RENAL FAILURE WITH CC
684 11  M  RENAL FAILURE WITHOUT CC/MCC
686 11  M  KIDNEY AND URINARY TRACT NEOPLASMS WITH MCC
687 11  M  KIDNEY AND URINARY TRACT NEOPLASMS WITH CC
688 11  M  KIDNEY AND URINARY TRACT NEOPLASMS WITHOUT CC/MCC
689 11  M  KIDNEY AND URINARY TRACT INFECTIONS WITH MCC
690 11  M  KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC
691 11  M  URINARY STONES WITH ESW LITHOTRIPSY WITH CC/MCC
692 11  M  URINARY STONES WITH ESW LITHOTRIPSY WITHOUT CC/MCC
693 11  M  URINARY STONES WITHOUT ESW LITHOTRIPSY WITH MCC
694 11  M  URINARY STONES WITHOUT ESW LITHOTRIPSY WITHOUT MCC
695 11  M  KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITH MCC
696 11  M  KIDNEY AND URINARY TRACT SIGNS AND SYMPTOMS WITHOUT MCC
697 11  M  URETHRAL STRICTURE
698 11  M  OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH MCC
699 11  M  OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITH CC
700 11  M  OTHER KIDNEY AND URINARY TRACT DIAGNOSES WITHOUT CC/MCC
707 12  P  MAJOR MALE PELVIC PROCEDURES WITH CC/MCC
708 12  P  MAJOR MALE PELVIC PROCEDURES WITHOUT CC/MCC
709 12  P  PENIS PROCEDURES WITH CC/MCC
710 12  P  PENIS PROCEDURES WITHOUT CC/MCC
711 12  P  TESTES PROCEDURES WITH CC/MCC
712 12  P  TESTES PROCEDURES WITHOUT CC/MCC
713 12  P  TRANSURETHRAL PROSTATECTOMY WITH CC/MCC
714 12  P  TRANSURETHRAL PROSTATECTOMY WITHOUT CC/MCC
715 12  P  OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITH CC/MCC
716 12  P  OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES FOR MALIGNANCY WITHOUT CC/MCC
717 12  P  OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC
718 12  P  OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXCEPT MALIGNANCY WITHOUT CC/MCC
722 12  M  MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH MCC
723 12  M  MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITH CC
724 12  M  MALIGNANCY, MALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC
725 12  M  BENIGN PROSTATIC HYPERTROPHY WITH MCC
726 12  M  BENIGN PROSTATIC HYPERTROPHY WITHOUT MCC
727 12  M  INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITH MCC
728 12  M  INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM WITHOUT MCC
729 12  M  OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITH CC/MCC
730 12  M  OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES WITHOUT CC/MCC
734 13  P  PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITH CC/MCC
735 13  P  PELVIC EVISCERATION, RADICAL HYSTERECTOMY AND RADICAL VULVECTOMY WITHOUT CC/MCC
736 13  P  UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH MCC
737 13  P  UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITH CC
738 13  P  UTERINE AND ADNEXA PROCEDURES FOR OVARIAN OR ADNEXAL MALIGNANCY WITHOUT CC/MCC
739 13  P  UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH MCC
740 13  P  UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITH CC
741 13  P  UTERINE, ADNEXA PROCEDURES FOR NON-OVARIAN AND NON-ADNEXAL MALIGNANCY WITHOUT CC/MCC
742 13  P  UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITH CC/MCC
743 13  P  UTERINE AND ADNEXA PROCEDURES FOR NON-MALIGNANCY WITHOUT CC/MCC
744 13  P  D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC
745 13  P  D&C, CONIZATION, LAPAROSCOPY AND TUBAL INTERRUPTION WITHOUT CC/MCC
746 13  P  VAGINA, CERVIX AND VULVA PROCEDURES WITH CC/MCC
747 13  P  VAGINA, CERVIX AND VULVA PROCEDURES WITHOUT CC/MCC
748 13  P  FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES
749 13  P  OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITH CC/MCC
750 13  P  OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
754 13  M  MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH MCC
755 13  M  MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITH CC
756 13  M  MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC
757 13  M  INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH MCC
758 13  M  INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITH CC
759 13  M  INFECTIONS, FEMALE REPRODUCTIVE SYSTEM WITHOUT CC/MCC
760 13  M  MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITH CC/MCC
761 13  M  MENSTRUAL AND OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS WITHOUT CC/MCC
768 14  P  VAGINAL DELIVERY WITH O.R. PROC EXCEPT STERIL &/OR D&C
769 14  P  POSTPARTUM AND POST ABORTION DIAGNOSES WITH O.R. PROCEDURE
770 14  P  ABORTION WITH D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY
776 14  M  POSTPARTUM AND POST ABORTION DIAGNOSES WITHOUT O.R. PROCEDURE
779 14  M  ABORTION WITHOUT D&C
783 14  P  CESAREAN SECTION WITH STERILIZATION WITH MCC
784 14  P  CESAREAN SECTION WITH STERILIZATION WITH CC
785 14  P  CESAREAN SECTION WITH STERILIZATION WITHOUT CC/MCC
786 14  P  CESAREAN SECTION WITHOUT STERILIZATION WITH MCC
787 14  P  CESAREAN SECTION WITHOUT STERILIZATION WITH CC
788 14  P  CESAREAN SECTION WITHOUT STERILIZATION WITHOUT CC/MCC
789 15  M  NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY
790 15  M  EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE
791 15  M  PREMATURITY WITH MAJOR PROBLEMS
792 15  M  PREMATURITY WITHOUT MAJOR PROBLEMS
793 15  M  FULL TERM NEONATE WITH MAJOR PROBLEMS
794 15  M  NEONATE WITH OTHER SIGNIFICANT PROBLEMS
795 15  M  NORMAL NEWBORN
796 14  P  VAGINAL DELIVERY WITH STERILIZATION/D&C WITH MCC
797 14  P  VAGINAL DELIVERY WITH STERILIZATION/D&C WITH CC
798 14  P  VAGINAL DELIVERY WITH STERILIZATION/D&C WITHOUT CC/MCC
799 16  P  SPLENECTOMY WITH MCC
800 16  P  SPLENECTOMY WITH CC
801 16  P  SPLENECTOMY WITHOUT CC/MCC
802 16  P  OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH MCC
803 16  P  OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITH CC
804 16  P  OTHER O.R. PROCEDURES OF THE BLOOD AND BLOOD FORMING ORGANS WITHOUT CC/MCC
805 14  M  VAGINAL DELIVERY WITHOUT STERILIZATION/D&C WITH MCC
806 14  M  VAGINAL DELIVERY WITHOUT STERILIZATION/D&C WITH CC
807 14  M  VAGINAL DELIVERY WITHOUT STERILIZATION/D&C WITHOUT CC/MCC
808 16  M  MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH MCC
809 16  M  MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH CC
810 16  M  MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITHOUT CC/MCC
811 16  M  RED BLOOD CELL DISORDERS WITH MCC
812 16  M  RED BLOOD CELL DISORDERS WITHOUT MCC
813 16  M  COAGULATION DISORDERS
