:======================================================================:
|     Appendix A List of MS-DRGs Version 42.0     |
558 08  M  Tendonitis, Myositis and Bursitis without MCC
559 08  M  Aftercare, Musculoskeletal System and Connective Tissue with MCC
560 08  M  Aftercare, Musculoskeletal System and Connective Tissue with CC
561 08  M  Aftercare, Musculoskeletal System and Connective Tissue without CC/MCC
562 08  M  Fracture, Sprain, Strain and Dislocation Except Femur, Hip, Pelvis and Thigh with MCC
563 08  M  Fracture, Sprain, Strain and Dislocation Except Femur, Hip, Pelvis and Thigh without MCC
564 08  M  Other Musculoskeletal System and Connective Tissue Diagnoses with MCC
565 08  M  Other Musculoskeletal System and Connective Tissue Diagnoses with CC
566 08  M  Other Musculoskeletal System and Connective Tissue Diagnoses without CC/MCC
570 09  P  Skin Debridement with MCC
571 09  P  Skin Debridement with CC
572 09  P  Skin Debridement without CC/MCC
573 09  P  Skin Graft for Skin Ulcer or Cellulitis with MCC
574 09  P  Skin Graft for Skin Ulcer or Cellulitis with CC
575 09  P  Skin Graft for Skin Ulcer or Cellulitis without CC/MCC
576 09  P  Skin Graft Except for Skin Ulcer or Cellulitis with MCC
577 09  P  Skin Graft Except for Skin Ulcer or Cellulitis with CC
578 09  P  Skin Graft Except for Skin Ulcer or Cellulitis without CC/MCC
579 09  P  Other Skin, Subcutaneous Tissue and Breast Procedures with MCC
580 09  P  Other Skin, Subcutaneous Tissue and Breast Procedures with CC
581 09  P  Other Skin, Subcutaneous Tissue and Breast Procedures without CC/MCC
582 09  P  Mastectomy for Malignancy with CC/MCC
583 09  P  Mastectomy for Malignancy without CC/MCC
584 09  P  Breast Biopsy, Local Excision and Other Breast Procedures with CC/MCC
585 09  P  Breast Biopsy, Local Excision and Other Breast Procedures without CC/MCC
592 09  M  Skin Ulcers with MCC
593 09  M  Skin Ulcers with CC
594 09  M  Skin Ulcers without CC/MCC
595 09  M  Major Skin Disorders with MCC
596 09  M  Major Skin Disorders without MCC
597 09  M  Malignant Breast Disorders with MCC
598 09  M  Malignant Breast Disorders with CC
599 09  M  Malignant Breast Disorders without CC/MCC
600 09  M  Non-Malignant Breast Disorders with CC/MCC
601 09  M  Non-Malignant Breast Disorders without CC/MCC
602 09  M  Cellulitis with MCC
603 09  M  Cellulitis without MCC
604 09  M  Trauma to the Skin, Subcutaneous Tissue and Breast with MCC
605 09  M  Trauma to the Skin, Subcutaneous Tissue and Breast without MCC
606 09  M  Minor Skin Disorders with MCC
607 09  M  Minor Skin Disorders without MCC
614 10  P  Adrenal and Pituitary Procedures with CC/MCC
615 10  P  Adrenal and Pituitary Procedures without CC/MCC
616 10  P  Amputation of Lower Limb for Endocrine, Nutritional and Metabolic Disorders with MCC
617 10  P  Amputation of Lower Limb for Endocrine, Nutritional and Metabolic Disorders with CC
618 10  P  Amputation of Lower Limb for Endocrine, Nutritional and Metabolic Disorders without CC/MCC
619 10  P  O.R. Procedures for Obesity with MCC
620 10  P  O.R. Procedures for Obesity with CC
621 10  P  O.R. Procedures for Obesity without CC/MCC
622 10  P  Skin Grafts and Wound Debridement for Endocrine, Nutritional and Metabolic Disorders with MCC
623 10  P  Skin Grafts and Wound Debridement for Endocrine, Nutritional and Metabolic Disorders with CC
624 10  P  Skin Grafts and Wound Debridement for Endocrine, Nutritional and Metabolic Disorders without CC/MCC
625 10  P  Thyroid, Parathyroid and Thyroglossal Procedures with MCC
626 10  P  Thyroid, Parathyroid and Thyroglossal Procedures with CC
627 10  P  Thyroid, Parathyroid and Thyroglossal Procedures without CC/MCC
628 10  P  Other Endocrine, Nutritional and Metabolic O.R. Procedures with MCC
629 10  P  Other Endocrine, Nutritional and Metabolic O.R. Procedures with CC
630 10  P  Other Endocrine, Nutritional and Metabolic O.R. Procedures without CC/MCC
637 10  M  Diabetes with MCC
638 10  M  Diabetes with CC
639 10  M  Diabetes without CC/MCC
640 10  M  Miscellaneous Disorders of Nutrition, Metabolism, Fluids and Electrolytes with MCC
641 10  M  Miscellaneous Disorders of Nutrition, Metabolism, Fluids and Electrolytes without MCC
642 10  M  Inborn and Other Disorders of Metabolism
643 10  M  Endocrine Disorders with MCC
644 10  M  Endocrine Disorders with CC
645 10  M  Endocrine Disorders without CC/MCC
650 11  P  Kidney Transplant with Hemodialysis with MCC
651 11  P  Kidney Transplant with Hemodialysis without MCC
652 11  P  Kidney Transplant
653 11  P  Major Bladder Procedures with MCC
654 11  P  Major Bladder Procedures with CC
655 11  P  Major Bladder Procedures without CC/MCC
656 11  P  Kidney and Ureter Procedures for Neoplasm with MCC
657 11  P  Kidney and Ureter Procedures for Neoplasm with CC
658 11  P  Kidney and Ureter Procedures for Neoplasm without CC/MCC
659 11  P  Kidney and Ureter Procedures for Non-Neoplasm with MCC
660 11  P  Kidney and Ureter Procedures for Non-Neoplasm with CC
661 11  P  Kidney and Ureter Procedures for Non-Neoplasm without CC/MCC
662 11  P  Minor Bladder Procedures with MCC
663 11  P  Minor Bladder Procedures with CC
664 11  P  Minor Bladder Procedures without CC/MCC
665 11  P  Prostatectomy with MCC
666 11  P  Prostatectomy with CC
667 11  P  Prostatectomy without CC/MCC
668 11  P  Transurethral Procedures with MCC
669 11  P  Transurethral Procedures with CC
670 11  P  Transurethral Procedures without CC/MCC
671 11  P  Urethral Procedures with CC/MCC
672 11  P  Urethral Procedures without CC/MCC
673 11  P  Other Kidney and Urinary Tract Procedures with MCC
674 11  P  Other Kidney and Urinary Tract Procedures with CC
675 11  P  Other Kidney and Urinary Tract Procedures without CC/MCC
682 11  M  Renal Failure with MCC
683 11  M  Renal Failure with CC
684 11  M  Renal Failure without CC/MCC
686 11  M  Kidney and Urinary Tract Neoplasms with MCC
687 11  M  Kidney and Urinary Tract Neoplasms with CC
688 11  M  Kidney and Urinary Tract Neoplasms without CC/MCC
689 11  M  Kidney and Urinary Tract Infections with MCC
690 11  M  Kidney and Urinary Tract Infections without MCC
693 11  M  Urinary Stones with MCC
694 11  M  Urinary Stones without MCC
695 11  M  Kidney and Urinary Tract Signs and Symptoms with MCC
696 11  M  Kidney and Urinary Tract Signs and Symptoms without MCC
697 11  M  Urethral Stricture
698 11  M  Other Kidney and Urinary Tract Diagnoses with MCC
699 11  M  Other Kidney and Urinary Tract Diagnoses with CC
700 11  M  Other Kidney and Urinary Tract Diagnoses without CC/MCC
707 12  P  Major Male Pelvic Procedures with CC/MCC
708 12  P  Major Male Pelvic Procedures without CC/MCC
709 12  P  Penis Procedures with CC/MCC
710 12  P  Penis Procedures without CC/MCC
711 12  P  Testes Procedures with CC/MCC
712 12  P  Testes Procedures without CC/MCC
713 12  P  Transurethral Prostatectomy with CC/MCC
714 12  P  Transurethral Prostatectomy without CC/MCC
715 12  P  Other Male Reproductive System O.R. Procedures for Malignancy with CC/MCC
716 12  P  Other Male Reproductive System O.R. Procedures for Malignancy without CC/MCC
717 12  P  Other Male Reproductive System O.R. Procedures Except Malignancy with CC/MCC
718 12  P  Other Male Reproductive System O.R. Procedures Except Malignancy without CC/MCC
722 12  M  Malignancy, Male Reproductive System with MCC
723 12  M  Malignancy, Male Reproductive System with CC
724 12  M  Malignancy, Male Reproductive System without CC/MCC
725 12  M  Benign Prostatic Hypertrophy with MCC
726 12  M  Benign Prostatic Hypertrophy without MCC
727 12  M  Inflammation of the Male Reproductive System with MCC
728 12  M  Inflammation of the Male Reproductive System without MCC
729 12  M  Other Male Reproductive System Diagnoses with CC/MCC
730 12  M  Other Male Reproductive System Diagnoses without CC/MCC
734 13  P  Pelvic Evisceration, Radical Hysterectomy and Radical Vulvectomy with CC/MCC
735 13  P  Pelvic Evisceration, Radical Hysterectomy and Radical Vulvectomy without CC/MCC
736 13  P  Uterine and Adnexa Procedures for Ovarian or Adnexal Malignancy with MCC
737 13  P  Uterine and Adnexa Procedures for Ovarian or Adnexal Malignancy with CC
738 13  P  Uterine and Adnexa Procedures for Ovarian or Adnexal Malignancy without CC/MCC
739 13  P  Uterine and Adnexa Procedures for Non-Ovarian and Non-Adnexal Malignancy with MCC
740 13  P  Uterine and Adnexa Procedures for Non-Ovarian and Non-Adnexal Malignancy with CC
741 13  P  Uterine and Adnexa Procedures for Non-Ovarian and Non-Adnexal Malignancy without CC/MCC
742 13  P  Uterine and Adnexa Procedures for Non-Malignancy with CC/MCC
743 13  P  Uterine and Adnexa Procedures for Non-Malignancy without CC/MCC
744 13  P  D&C, Conization, Laparoscopy and Tubal Interruption with CC/MCC
745 13  P  D&C, Conization, Laparoscopy and Tubal Interruption without CC/MCC
746 13  P  Vagina, Cervix and Vulva Procedures with CC/MCC
747 13  P  Vagina, Cervix and Vulva Procedures without CC/MCC
748 13  P  Female Reproductive System Reconstructive Procedures
749 13  P  Other Female Reproductive System O.R. Procedures with CC/MCC
750 13  P  Other Female Reproductive System O.R. Procedures without CC/MCC
754 13  M  Malignancy, Female Reproductive System with MCC
755 13  M  Malignancy, Female Reproductive System with CC
756 13  M  Malignancy, Female Reproductive System without CC/MCC
757 13  M  Infections, Female Reproductive System with MCC
758 13  M  Infections, Female Reproductive System with CC
759 13  M  Infections, Female Reproductive System without CC/MCC
760 13  M  Menstrual and Other Female Reproductive System Disorders with CC/MCC
761 13  M  Menstrual and Other Female Reproductive System Disorders without CC/MCC
768 14  P  Vaginal Delivery with O.R. Procedures Except Sterilization and/or D&C
769 14  P  Postpartum and Post Abortion Diagnoses with O.R. Procedures
770 14  P  Abortion with D&C, Aspiration Curettage or Hysterotomy
776 14  M  Postpartum and Post Abortion Diagnoses without O.R. Procedures
779 14  M  Abortion without D&C
783 14  P  Cesarean Section with Sterilization with MCC
784 14  P  Cesarean Section with Sterilization with CC
785 14  P  Cesarean Section with Sterilization without CC/MCC
786 14  P  Cesarean Section without Sterilization with MCC
787 14  P  Cesarean Section without Sterilization with CC
788 14  P  Cesarean Section without Sterilization without CC/MCC
789 15  M  Neonates, Died or Transferred to Another Acute Care Facility
790 15  M  Extreme Immaturity or Respiratory Distress Syndrome, Neonate
791 15  M  Prematurity with Major Problems
792 15  M  Prematurity without Major Problems
793 15  M  Full Term Neonate with Major Problems
794 15  M  Neonate with Other Significant Problems
795 15  M  Normal Newborn
796 14  P  Vaginal Delivery with Sterilization and/or D&C with MCC
797 14  P  Vaginal Delivery with Sterilization and/or D&C with CC
798 14  P  Vaginal Delivery with Sterilization and/or D&C without CC/MCC
799 16  P  Splenic Procedures with MCC
800 16  P  Splenic Procedures with CC
801 16  P  Splenic Procedures without CC/MCC
802 16  P  Other O.R. Procedures of the Blood and Blood Forming Organs with MCC
803 16  P  Other O.R. Procedures of the Blood and Blood Forming Organs with CC
804 16  P  Other O.R. Procedures of the Blood and Blood Forming Organs without CC/MCC
805 14  M  Vaginal Delivery without Sterilization or D&C with MCC
806 14  M  Vaginal Delivery without Sterilization or D&C with CC
807 14  M  Vaginal Delivery without Sterilization or D&C without CC/MCC
808 16  M  Major Hematological and Immunological Diagnoses Except Sickle Cell Crisis and Coagulation Disorders with MCC
809 16  M  Major Hematological and Immunological Diagnoses Except Sickle Cell Crisis and Coagulation Disorders with CC
810 16  M  Major Hematological and Immunological Diagnoses Except Sickle Cell Crisis and Coagulation Disorders without CC/MCC
811 16  M  Red Blood Cell Disorders with MCC
812 16  M  Red Blood Cell Disorders without MCC
813 16  M  Coagulation Disorders
814 16  M  Reticuloendothelial and Immunity Disorders with MCC
815 16  M  Reticuloendothelial and Immunity Disorders with CC
816 16  M  Reticuloendothelial and Immunity Disorders without CC/MCC
817 14  P  Other Antepartum Diagnoses with O.R. Procedures with MCC
818 14  P  Other Antepartum Diagnoses with O.R. Procedures with CC
819 14  P  Other Antepartum Diagnoses with O.R. Procedures without CC/MCC
820 17  P  Lymphoma and Leukemia with Major O.R. Procedures with MCC
821 17  P  Lymphoma and Leukemia with Major O.R. Procedures with CC
822 17  P  Lymphoma and Leukemia with Major O.R. Procedures without CC/MCC
823 17  P  Lymphoma and Non-Acute Leukemia with Other Procedures with MCC
824 17  P  Lymphoma and Non-Acute Leukemia with Other Procedures with CC
825 17  P  Lymphoma and Non-Acute Leukemia with Other Procedures without CC/MCC
826 17  P  Myeloproliferative Disorders or Poorly Differentiated Neoplasms with Major O.R. Procedures with MCC
827 17  P  Myeloproliferative Disorders or Poorly Differentiated Neoplasms with Major O.R. Procedures with CC
828 17  P  Myeloproliferative Disorders or Poorly Differentiated Neoplasms with Major O.R. Procedures without CC/MCC
829 17  P  Myeloproliferative Disorders or Poorly Differentiated Neoplasms with Other Procedures with CC/MCC
830 17  P  Myeloproliferative Disorders or Poorly Differentiated Neoplasms with Other Procedures without CC/MCC
831 14  M  Other Antepartum Diagnoses without O.R. Procedures with MCC
832 14  M  Other Antepartum Diagnoses without O.R. Procedures with CC
833 14  M  Other Antepartum Diagnoses without O.R. Procedures without CC/MCC
834 17  M  Acute Leukemia with MCC
835 17  M  Acute Leukemia with CC
836 17  M  Acute Leukemia without CC/MCC
837 17  M  Chemotherapy with Acute Leukemia as Secondary Diagnosis or with High Dose Chemotherapy Agent with MCC
838 17  M  Chemotherapy with Acute Leukemia as Secondary Diagnosis with CC or High Dose Chemotherapy Agent
839 17  M  Chemotherapy with Acute Leukemia as Secondary Diagnosis without CC/MCC
840 17  M  Lymphoma and Non-Acute Leukemia with MCC
841 17  M  Lymphoma and Non-Acute Leukemia with CC
842 17  M  Lymphoma and Non-Acute Leukemia without CC/MCC
843 17  M  Other Myeloproliferative Disorders or Poorly Differentiated Neoplastic Diagnoses with MCC
844 17  M  Other Myeloproliferative Disorders or Poorly Differentiated Neoplastic Diagnoses with CC
845 17  M  Other Myeloproliferative Disorders or Poorly Differentiated Neoplastic Diagnoses without CC/MCC
846 17  M  Chemotherapy without Acute Leukemia as Secondary Diagnosis with MCC
847 17  M  Chemotherapy without Acute Leukemia as Secondary Diagnosis with CC
848 17  M  Chemotherapy without Acute Leukemia as Secondary Diagnosis without CC/MCC
849 17  M  Radiotherapy
850 17  P  Acute Leukemia with Other Procedures
853 18  P  Infectious and Parasitic Diseases with O.R. Procedures with MCC
854 18  P  Infectious and Parasitic Diseases with O.R. Procedures with CC
855 18  P  Infectious and Parasitic Diseases with O.R. Procedures without CC/MCC
856 18  P  Postoperative or Post-Traumatic Infections with O.R. Procedures with MCC
857 18  P  Postoperative or Post-Traumatic Infections with O.R. Procedures with CC
858 18  P  Postoperative or Post-Traumatic Infections with O.R. Procedures without CC/MCC
862 18  M  Postoperative and Post-Traumatic Infections with MCC
863 18  M  Postoperative and Post-Traumatic Infections without MCC
864 18  M  Fever and Inflammatory Conditions
865 18  M  Viral Illness with MCC
866 18  M  Viral Illness without MCC
867 18  M  Other Infectious and Parasitic Diseases Diagnoses with MCC
868 18  M  Other Infectious and Parasitic Diseases Diagnoses with CC
869 18  M  Other Infectious and Parasitic Diseases Diagnoses without CC/MCC
870 18  M  Septicemia or Severe Sepsis with MV >96 Hours
871 18  M  Septicemia or Severe Sepsis without MV >96 Hours with MCC
872 18  M  Septicemia or Severe Sepsis without MV >96 Hours without MCC
876 19  P  O.R. Procedures with Principal Diagnosis of Mental Illness
880 19  M  Acute Adjustment Reaction and Psychosocial Dysfunction
881 19  M  Depressive Neuroses
882 19  M  Neuroses Except Depressive
883 19  M  Disorders of Personality and Impulse Control
884 19  M  Organic Disturbances and Intellectual Disability
885 19  M  Psychoses
886 19  M  Behavioral and Developmental Disorders
887 19  M  Other Mental Disorder Diagnoses
894 20  M  Alcohol, Drug Abuse or Dependence, Left AMA
895 20  M  Alcohol, Drug Abuse or Dependence with Rehabilitation Therapy
896 20  M  Alcohol, Drug Abuse or Dependence without Rehabilitation Therapy with MCC
897 20  M  Alcohol, Drug Abuse or Dependence without Rehabilitation Therapy without MCC
901 21  P  Wound Debridements for Injuries with MCC
902 21  P  Wound Debridements for Injuries with CC
903 21  P  Wound Debridements for Injuries without CC/MCC
904 21  P  Skin Grafts for Injuries with CC/MCC
905 21  P  Skin Grafts for Injuries without CC/MCC
906 21  P  Hand Procedures for Injuries
907 21  P  Other O.R. Procedures for Injuries with MCC
908 21  P  Other O.R. Procedures for Injuries with CC
909 21  P  Other O.R. Procedures for Injuries without CC/MCC
913 21  M  Traumatic Injury with MCC
914 21  M  Traumatic Injury without MCC
915 21  M  Allergic Reactions with MCC
916 21  M  Allergic Reactions without MCC
917 21  M  Poisoning and Toxic Effects of Drugs with MCC
918 21  M  Poisoning and Toxic Effects of Drugs without MCC
919 21  M  Complications of Treatment with MCC
920 21  M  Complications of Treatment with CC
921 21  M  Complications of Treatment without CC/MCC
922 21  M  Other Injury, Poisoning and Toxic Effect Diagnoses with MCC
923 21  M  Other Injury, Poisoning and Toxic Effect Diagnoses without MCC
927 22  P  Extensive Burns or Full Thickness Burns with MV >96 Hours with Skin Graft
928 22  P  Full Thickness Burn with Skin Graft or Inhalation Injury with CC/MCC
929 22  P  Full Thickness Burn with Skin Graft or Inhalation Injury without CC/MCC
933 22  M  Extensive Burns or Full Thickness Burns with MV >96 Hours without Skin Graft
934 22  M  Full Thickness Burn without Skin Graft or Inhalation Injury
935 22  M  Non-Extensive Burns
939 23  P  O.R. Procedures with Diagnoses of Other Contact with Health Services with MCC
940 23  P  O.R. Procedures with Diagnoses of Other Contact with Health Services with CC
941 23  P  O.R. Procedures with Diagnoses of Other Contact with Health Services without CC/MCC
945 23  M  Rehabilitation with CC/MCC
946 23  M  Rehabilitation without CC/MCC
947 23  M  Signs and Symptoms with MCC
948 23  M  Signs and Symptoms without MCC
949 23  M  Aftercare with CC/MCC
950 23  M  Aftercare without CC/MCC
951 23  M  Other Factors Influencing Health Status
955 24  P  Craniotomy for Multiple Significant Trauma
956 24  P  Limb Reattachment, Hip and Femur Procedures for Multiple Significant Trauma
957 24  P  Other O.R. Procedures for Multiple Significant Trauma with MCC
958 24  P  Other O.R. Procedures for Multiple Significant Trauma with CC
959 24  P  Other O.R. Procedures for Multiple Significant Trauma without CC/MCC
963 24  M  Other Multiple Significant Trauma with MCC
964 24  M  Other Multiple Significant Trauma with CC
965 24  M  Other Multiple Significant Trauma without CC/MCC
969 25  P  HIV with Extensive O.R. Procedures with MCC
970 25  P  HIV with Extensive O.R. Procedures without MCC
974 25  M  HIV with Major Related Condition with MCC
975 25  M  HIV with Major Related Condition with CC
976 25  M  HIV with Major Related Condition without CC/MCC
977 25  M  HIV with or without Other Related Condition
981     P  Extensive O.R. Procedures Unrelated to Principal Diagnosis with MCC
982     P  Extensive O.R. Procedures Unrelated to Principal Diagnosis with CC
983     P  Extensive O.R. Procedures Unrelated to Principal Diagnosis without CC/MCC
987     P  Non-Extensive O.R. Procedures Unrelated to Principal Diagnosis with MCC
988     P  Non-Extensive O.R. Procedures Unrelated to Principal Diagnosis with CC
989     P  Non-Extensive O.R. Procedures Unrelated to Principal Diagnosis without CC/MCC
998        Principal Diagnosis Invalid as Discharge Diagnosis
999        Ungroupable
