=================================================================================
MDC 08 Diseases and Disorders of the Musculoskeletal System and Connective Tissue
=================================================================================

MDC 08 Assignment of Diagnosis Codes

  A0223   Salmonella arthritis
  S32424S Nondisplaced fracture of posterior wall of right acetabulum, sequela
  S32425A Nondisplaced fracture of posterior wall of left acetabulum, initial encounter for closed fracture
  S32425B Nondisplaced fracture of posterior wall of left acetabulum, initial encounter for open fracture
  S32425D Nondisplaced fracture of posterior wall of left acetabulum, subsequent encounter for fracture with routine healing
  S32425G Nondisplaced fracture of posterior wall of left acetabulum, subsequent encounter for fracture with delayed healing
  S32425K Nondisplaced fracture of posterior wall of left acetabulum, subsequent encounter for fracture with nonunion
  S32425S Nondisplaced fracture of posterior wall of left acetabulum, sequela
  S32426A Nondisplaced fracture of posterior wall of unspecified acetabulum, initial encounter for closed fracture
  S32426B Nondisplaced fracture of posterior wall of unspecified acetabulum, initial encounter for open fracture
  S32426D Nondisplaced fracture of posterior wall of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32426G Nondisplaced fracture of posterior wall of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32426K Nondisplaced fracture of posterior wall of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32426S Nondisplaced fracture of posterior wall of unspecified acetabulum, sequela
  S32431A Displaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for closed fracture
  S32431B Displaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for open fracture
  S32431D Displaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with routine healing
  S32431G Displaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with delayed healing
  S32431K Displaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with nonunion
  S32431S Displaced fracture of anterior column [iliopubic] of right acetabulum, sequela
  S32432A Displaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for closed fracture
  S32432B Displaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for open fracture
  S32432D Displaced fracture of anterior column [iliopubic] of left acetabulum, subsequent encounter for fracture with routine healing
  S32432G Displaced fracture of anterior column [iliopubic] of left acetabulum, subsequent encounter for fracture with delayed healing
  S32432K Displaced fracture of anterior column [iliopubic] of left acetabulum, subsequent encounter for fracture with nonunion
  S32432S Displaced fracture of anterior column [iliopubic] of left acetabulum, sequela
  S32433A Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for closed fracture
  S32433B Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for open fracture
  S32433D Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32433G Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32433K Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32433S Displaced fracture of anterior column [iliopubic] of unspecified acetabulum, sequela
  S32434A Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for closed fracture
  S32434B Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, initial encounter for open fracture
  S32434D Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with routine healing
  S32434G Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with delayed healing
  S32434K Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, subsequent encounter for fracture with nonunion
  S32434S Nondisplaced fracture of anterior column [iliopubic] of right acetabulum, sequela
  S32435A Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for closed fracture
  S32435B Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, initial encounter for open fracture
  S32435D Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, subsequent encounter for fracture with routine healing
  S32435G Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, subsequent encounter for fracture with delayed healing
  S32435K Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, subsequent encounter for fracture with nonunion
  S32435S Nondisplaced fracture of anterior column [iliopubic] of left acetabulum, sequela
  S32436A Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for closed fracture
  S32436B Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, initial encounter for open fracture
  S32436D Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32436G Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32436K Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32436S Nondisplaced fracture of anterior column [iliopubic] of unspecified acetabulum, sequela
  S32441A Displaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for closed fracture
  S32441B Displaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for open fracture
  S32441D Displaced fracture of posterior column [ilioischial] of right acetabulum, subsequent encounter for fracture with routine healing
  S32441G Displaced fracture of posterior column [ilioischial] of right acetabulum, subsequent encounter for fracture with delayed healing
  S32441K Displaced fracture of posterior column [ilioischial] of right acetabulum, subsequent encounter for fracture with nonunion
  S32441S Displaced fracture of posterior column [ilioischial] of right acetabulum, sequela
  S32442A Displaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for closed fracture
  S32442B Displaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for open fracture
  S32442D Displaced fracture of posterior column [ilioischial] of left acetabulum, subsequent encounter for fracture with routine healing
  S32442G Displaced fracture of posterior column [ilioischial] of left acetabulum, subsequent encounter for fracture with delayed healing
  S32442K Displaced fracture of posterior column [ilioischial] of left acetabulum, subsequent encounter for fracture with nonunion
  S32442S Displaced fracture of posterior column [ilioischial] of left acetabulum, sequela
  S32443A Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for closed fracture
  S32443B Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for open fracture
  S32443D Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32443G Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32443K Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32443S Displaced fracture of posterior column [ilioischial] of unspecified acetabulum, sequela
  S32444A Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for closed fracture
  S32444B Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, initial encounter for open fracture
  S32444D Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, subsequent encounter for fracture with routine healing
  S32444G Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, subsequent encounter for fracture with delayed healing
  S32444K Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, subsequent encounter for fracture with nonunion
  S32444S Nondisplaced fracture of posterior column [ilioischial] of right acetabulum, sequela
  S32445A Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for closed fracture
  S32445B Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, initial encounter for open fracture
  S32445D Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, subsequent encounter for fracture with routine healing
  S32445G Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, subsequent encounter for fracture with delayed healing
  S32445K Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, subsequent encounter for fracture with nonunion
  S32445S Nondisplaced fracture of posterior column [ilioischial] of left acetabulum, sequela
  S32446A Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for closed fracture
  S32446B Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, initial encounter for open fracture
  S32446D Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32446G Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32446K Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32446S Nondisplaced fracture of posterior column [ilioischial] of unspecified acetabulum, sequela
  S32451A Displaced transverse fracture of right acetabulum, initial encounter for closed fracture
  S32451B Displaced transverse fracture of right acetabulum, initial encounter for open fracture
  S32451D Displaced transverse fracture of right acetabulum, subsequent encounter for fracture with routine healing
  S32451G Displaced transverse fracture of right acetabulum, subsequent encounter for fracture with delayed healing
  S32451K Displaced transverse fracture of right acetabulum, subsequent encounter for fracture with nonunion
  S32451S Displaced transverse fracture of right acetabulum, sequela
  S32452A Displaced transverse fracture of left acetabulum, initial encounter for closed fracture
  S32452B Displaced transverse fracture of left acetabulum, initial encounter for open fracture
  S32452D Displaced transverse fracture of left acetabulum, subsequent encounter for fracture with routine healing
  S32452G Displaced transverse fracture of left acetabulum, subsequent encounter for fracture with delayed healing
  S32452K Displaced transverse fracture of left acetabulum, subsequent encounter for fracture with nonunion
  S32452S Displaced transverse fracture of left acetabulum, sequela
  S32453A Displaced transverse fracture of unspecified acetabulum, initial encounter for closed fracture
  S32453B Displaced transverse fracture of unspecified acetabulum, initial encounter for open fracture
  S32453D Displaced transverse fracture of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32453G Displaced transverse fracture of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32453K Displaced transverse fracture of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32453S Displaced transverse fracture of unspecified acetabulum, sequela
  S32454A Nondisplaced transverse fracture of right acetabulum, initial encounter for closed fracture
  S32454B Nondisplaced transverse fracture of right acetabulum, initial encounter for open fracture
  S32454D Nondisplaced transverse fracture of right acetabulum, subsequent encounter for fracture with routine healing
  S32454G Nondisplaced transverse fracture of right acetabulum, subsequent encounter for fracture with delayed healing
  S32454K Nondisplaced transverse fracture of right acetabulum, subsequent encounter for fracture with nonunion
  S32454S Nondisplaced transverse fracture of right acetabulum, sequela
  S32455A Nondisplaced transverse fracture of left acetabulum, initial encounter for closed fracture
  S32455B Nondisplaced transverse fracture of left acetabulum, initial encounter for open fracture
  S32455D Nondisplaced transverse fracture of left acetabulum, subsequent encounter for fracture with routine healing
  S32455G Nondisplaced transverse fracture of left acetabulum, subsequent encounter for fracture with delayed healing
  S32455K Nondisplaced transverse fracture of left acetabulum, subsequent encounter for fracture with nonunion
  S32455S Nondisplaced transverse fracture of left acetabulum, sequela
  S32456A Nondisplaced transverse fracture of unspecified acetabulum, initial encounter for closed fracture
  S32456B Nondisplaced transverse fracture of unspecified acetabulum, initial encounter for open fracture
  S32456D Nondisplaced transverse fracture of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32456G Nondisplaced transverse fracture of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32456K Nondisplaced transverse fracture of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32456S Nondisplaced transverse fracture of unspecified acetabulum, sequela
  S32461A Displaced associated transverse-posterior fracture of right acetabulum, initial encounter for closed fracture
  S32461B Displaced associated transverse-posterior fracture of right acetabulum, initial encounter for open fracture
  S32461D Displaced associated transverse-posterior fracture of right acetabulum, subsequent encounter for fracture with routine healing
  S32461G Displaced associated transverse-posterior fracture of right acetabulum, subsequent encounter for fracture with delayed healing
  S32461K Displaced associated transverse-posterior fracture of right acetabulum, subsequent encounter for fracture with nonunion
  S32461S Displaced associated transverse-posterior fracture of right acetabulum, sequela
  S32462A Displaced associated transverse-posterior fracture of left acetabulum, initial encounter for closed fracture
  S32462B Displaced associated transverse-posterior fracture of left acetabulum, initial encounter for open fracture
  S32462D Displaced associated transverse-posterior fracture of left acetabulum, subsequent encounter for fracture with routine healing
  S32462G Displaced associated transverse-posterior fracture of left acetabulum, subsequent encounter for fracture with delayed healing
  S32462K Displaced associated transverse-posterior fracture of left acetabulum, subsequent encounter for fracture with nonunion
  S32462S Displaced associated transverse-posterior fracture of left acetabulum, sequela
  S32463A Displaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for closed fracture
  S32463B Displaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for open fracture
  S32463D Displaced associated transverse-posterior fracture of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32463G Displaced associated transverse-posterior fracture of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32463K Displaced associated transverse-posterior fracture of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32463S Displaced associated transverse-posterior fracture of unspecified acetabulum, sequela
  S32464A Nondisplaced associated transverse-posterior fracture of right acetabulum, initial encounter for closed fracture
  S32464B Nondisplaced associated transverse-posterior fracture of right acetabulum, initial encounter for open fracture
  S32464D Nondisplaced associated transverse-posterior fracture of right acetabulum, subsequent encounter for fracture with routine healing
  S32464G Nondisplaced associated transverse-posterior fracture of right acetabulum, subsequent encounter for fracture with delayed healing
  S32464K Nondisplaced associated transverse-posterior fracture of right acetabulum, subsequent encounter for fracture with nonunion
  S32464S Nondisplaced associated transverse-posterior fracture of right acetabulum, sequela
  S32465A Nondisplaced associated transverse-posterior fracture of left acetabulum, initial encounter for closed fracture
  S32465B Nondisplaced associated transverse-posterior fracture of left acetabulum, initial encounter for open fracture
  S32465D Nondisplaced associated transverse-posterior fracture of left acetabulum, subsequent encounter for fracture with routine healing
  S32465G Nondisplaced associated transverse-posterior fracture of left acetabulum, subsequent encounter for fracture with delayed healing
  S32465K Nondisplaced associated transverse-posterior fracture of left acetabulum, subsequent encounter for fracture with nonunion
  S32465S Nondisplaced associated transverse-posterior fracture of left acetabulum, sequela
  S32466A Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for closed fracture
  S32466B Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, initial encounter for open fracture
  S32466D Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32466G Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32466K Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32466S Nondisplaced associated transverse-posterior fracture of unspecified acetabulum, sequela
  S32471A Displaced fracture of medial wall of right acetabulum, initial encounter for closed fracture
  S32471B Displaced fracture of medial wall of right acetabulum, initial encounter for open fracture
  S32471D Displaced fracture of medial wall of right acetabulum, subsequent encounter for fracture with routine healing
  S32471G Displaced fracture of medial wall of right acetabulum, subsequent encounter for fracture with delayed healing
  S32471K Displaced fracture of medial wall of right acetabulum, subsequent encounter for fracture with nonunion
  S32471S Displaced fracture of medial wall of right acetabulum, sequela
  S32472A Displaced fracture of medial wall of left acetabulum, initial encounter for closed fracture
  S32472B Displaced fracture of medial wall of left acetabulum, initial encounter for open fracture
  S32472D Displaced fracture of medial wall of left acetabulum, subsequent encounter for fracture with routine healing
  S32472G Displaced fracture of medial wall of left acetabulum, subsequent encounter for fracture with delayed healing
  S32472K Displaced fracture of medial wall of left acetabulum, subsequent encounter for fracture with nonunion
  S32472S Displaced fracture of medial wall of left acetabulum, sequela
  S32473A Displaced fracture of medial wall of unspecified acetabulum, initial encounter for closed fracture
  S32473B Displaced fracture of medial wall of unspecified acetabulum, initial encounter for open fracture
  S32473D Displaced fracture of medial wall of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32473G Displaced fracture of medial wall of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32473K Displaced fracture of medial wall of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32473S Displaced fracture of medial wall of unspecified acetabulum, sequela
  S32474A Nondisplaced fracture of medial wall of right acetabulum, initial encounter for closed fracture
  S32474B Nondisplaced fracture of medial wall of right acetabulum, initial encounter for open fracture
  S32474D Nondisplaced fracture of medial wall of right acetabulum, subsequent encounter for fracture with routine healing
  S32474G Nondisplaced fracture of medial wall of right acetabulum, subsequent encounter for fracture with delayed healing
  S32474K Nondisplaced fracture of medial wall of right acetabulum, subsequent encounter for fracture with nonunion
  S32474S Nondisplaced fracture of medial wall of right acetabulum, sequela
  S32475A Nondisplaced fracture of medial wall of left acetabulum, initial encounter for closed fracture
  S32475B Nondisplaced fracture of medial wall of left acetabulum, initial encounter for open fracture
  S32475D Nondisplaced fracture of medial wall of left acetabulum, subsequent encounter for fracture with routine healing
  S32475G Nondisplaced fracture of medial wall of left acetabulum, subsequent encounter for fracture with delayed healing
  S32475K Nondisplaced fracture of medial wall of left acetabulum, subsequent encounter for fracture with nonunion
  S32475S Nondisplaced fracture of medial wall of left acetabulum, sequela
  S32476A Nondisplaced fracture of medial wall of unspecified acetabulum, initial encounter for closed fracture
  S32476B Nondisplaced fracture of medial wall of unspecified acetabulum, initial encounter for open fracture
  S32476D Nondisplaced fracture of medial wall of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32476G Nondisplaced fracture of medial wall of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32476K Nondisplaced fracture of medial wall of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32476S Nondisplaced fracture of medial wall of unspecified acetabulum, sequela
  S32481A Displaced dome fracture of right acetabulum, initial encounter for closed fracture
  S32481B Displaced dome fracture of right acetabulum, initial encounter for open fracture
  S32481D Displaced dome fracture of right acetabulum, subsequent encounter for fracture with routine healing
  S32481G Displaced dome fracture of right acetabulum, subsequent encounter for fracture with delayed healing
  S32481K Displaced dome fracture of right acetabulum, subsequent encounter for fracture with nonunion
  S32481S Displaced dome fracture of right acetabulum, sequela
  S32482A Displaced dome fracture of left acetabulum, initial encounter for closed fracture
  S32482B Displaced dome fracture of left acetabulum, initial encounter for open fracture
  S32482D Displaced dome fracture of left acetabulum, subsequent encounter for fracture with routine healing
  S32482G Displaced dome fracture of left acetabulum, subsequent encounter for fracture with delayed healing
  S32482K Displaced dome fracture of left acetabulum, subsequent encounter for fracture with nonunion
  S32482S Displaced dome fracture of left acetabulum, sequela
  S32483A Displaced dome fracture of unspecified acetabulum, initial encounter for closed fracture
  S32483B Displaced dome fracture of unspecified acetabulum, initial encounter for open fracture
  S32483D Displaced dome fracture of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32483G Displaced dome fracture of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32483K Displaced dome fracture of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32483S Displaced dome fracture of unspecified acetabulum, sequela
  S32484A Nondisplaced dome fracture of right acetabulum, initial encounter for closed fracture
  S32484B Nondisplaced dome fracture of right acetabulum, initial encounter for open fracture
  S32484D Nondisplaced dome fracture of right acetabulum, subsequent encounter for fracture with routine healing
  S32484G Nondisplaced dome fracture of right acetabulum, subsequent encounter for fracture with delayed healing
  S32484K Nondisplaced dome fracture of right acetabulum, subsequent encounter for fracture with nonunion
  S32484S Nondisplaced dome fracture of right acetabulum, sequela
  S32485A Nondisplaced dome fracture of left acetabulum, initial encounter for closed fracture
  S32485B Nondisplaced dome fracture of left acetabulum, initial encounter for open fracture
  S32485D Nondisplaced dome fracture of left acetabulum, subsequent encounter for fracture with routine healing
  S32485G Nondisplaced dome fracture of left acetabulum, subsequent encounter for fracture with delayed healing
  S32485K Nondisplaced dome fracture of left acetabulum, subsequent encounter for fracture with nonunion
  S32485S Nondisplaced dome fracture of left acetabulum, sequela
  S32486A Nondisplaced dome fracture of unspecified acetabulum, initial encounter for closed fracture
  S32486B Nondisplaced dome fracture of unspecified acetabulum, initial encounter for open fracture
  S32486D Nondisplaced dome fracture of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32486G Nondisplaced dome fracture of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32486K Nondisplaced dome fracture of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32486S Nondisplaced dome fracture of unspecified acetabulum, sequela
  S32491A Other specified fracture of right acetabulum, initial encounter for closed fracture
  S32491B Other specified fracture of right acetabulum, initial encounter for open fracture
  S32491D Other specified fracture of right acetabulum, subsequent encounter for fracture with routine healing
  S32491G Other specified fracture of right acetabulum, subsequent encounter for fracture with delayed healing
  S32491K Other specified fracture of right acetabulum, subsequent encounter for fracture with nonunion
  S32491S Other specified fracture of right acetabulum, sequela
  S32492A Other specified fracture of left acetabulum, initial encounter for closed fracture
  S32492B Other specified fracture of left acetabulum, initial encounter for open fracture
  S32492D Other specified fracture of left acetabulum, subsequent encounter for fracture with routine healing
  S32492G Other specified fracture of left acetabulum, subsequent encounter for fracture with delayed healing
  S32492K Other specified fracture of left acetabulum, subsequent encounter for fracture with nonunion
  S32492S Other specified fracture of left acetabulum, sequela
  S32499A Other specified fracture of unspecified acetabulum, initial encounter for closed fracture
  S32499B Other specified fracture of unspecified acetabulum, initial encounter for open fracture
  S32499D Other specified fracture of unspecified acetabulum, subsequent encounter for fracture with routine healing
  S32499G Other specified fracture of unspecified acetabulum, subsequent encounter for fracture with delayed healing
  S32499K Other specified fracture of unspecified acetabulum, subsequent encounter for fracture with nonunion
  S32499S Other specified fracture of unspecified acetabulum, sequela
  S32501A Unspecified fracture of right pubis, initial encounter for closed fracture
  S32501B Unspecified fracture of right pubis, initial encounter for open fracture
  S32501D Unspecified fracture of right pubis, subsequent encounter for fracture with routine healing
  S32501G Unspecified fracture of right pubis, subsequent encounter for fracture with delayed healing
  S32501K Unspecified fracture of right pubis, subsequent encounter for fracture with nonunion
  S32501S Unspecified fracture of right pubis, sequela
  S32502A Unspecified fracture of left pubis, initial encounter for closed fracture
  S32502B Unspecified fracture of left pubis, initial encounter for open fracture
  S32502D Unspecified fracture of left pubis, subsequent encounter for fracture with routine healing
  S32502G Unspecified fracture of left pubis, subsequent encounter for fracture with delayed healing
  S32502K Unspecified fracture of left pubis, subsequent encounter for fracture with nonunion
  S32502S Unspecified fracture of left pubis, sequela
  S32509A Unspecified fracture of unspecified pubis, initial encounter for closed fracture
  S32509B Unspecified fracture of unspecified pubis, initial encounter for open fracture
  S32509D Unspecified fracture of unspecified pubis, subsequent encounter for fracture with routine healing
  S32509G Unspecified fracture of unspecified pubis, subsequent encounter for fracture with delayed healing
  S32509K Unspecified fracture of unspecified pubis, subsequent encounter for fracture with nonunion
  S32509S Unspecified fracture of unspecified pubis, sequela
  S32511A Fracture of superior rim of right pubis, initial encounter for closed fracture
  S32511B Fracture of superior rim of right pubis, initial encounter for open fracture
  S32511D Fracture of superior rim of right pubis, subsequent encounter for fracture with routine healing
  S32511G Fracture of superior rim of right pubis, subsequent encounter for fracture with delayed healing
  S32511K Fracture of superior rim of right pubis, subsequent encounter for fracture with nonunion
  S32511S Fracture of superior rim of right pubis, sequela
  S32512A Fracture of superior rim of left pubis, initial encounter for closed fracture
  S32512B Fracture of superior rim of left pubis, initial encounter for open fracture
  S32512D Fracture of superior rim of left pubis, subsequent encounter for fracture with routine healing
  S32512G Fracture of superior rim of left pubis, subsequent encounter for fracture with delayed healing
  S32512K Fracture of superior rim of left pubis, subsequent encounter for fracture with nonunion
  S32512S Fracture of superior rim of left pubis, sequela
  S32519A Fracture of superior rim of unspecified pubis, initial encounter for closed fracture
  S32519B Fracture of superior rim of unspecified pubis, initial encounter for open fracture
  S32519D Fracture of superior rim of unspecified pubis, subsequent encounter for fracture with routine healing
  S32519G Fracture of superior rim of unspecified pubis, subsequent encounter for fracture with delayed healing
  S32519K Fracture of superior rim of unspecified pubis, subsequent encounter for fracture with nonunion
  S32519S Fracture of superior rim of unspecified pubis, sequela
  S32591A Other specified fracture of right pubis, initial encounter for closed fracture
  S32591B Other specified fracture of right pubis, initial encounter for open fracture
  S32591D Other specified fracture of right pubis, subsequent encounter for fracture with routine healing
  S32591G Other specified fracture of right pubis, subsequent encounter for fracture with delayed healing
  S32591K Other specified fracture of right pubis, subsequent encounter for fracture with nonunion
  S32591S Other specified fracture of right pubis, sequela
  S32592A Other specified fracture of left pubis, initial encounter for closed fracture
  S32592B Other specified fracture of left pubis, initial encounter for open fracture
  S32592D Other specified fracture of left pubis, subsequent encounter for fracture with routine healing
  S32592G Other specified fracture of left pubis, subsequent encounter for fracture with delayed healing
  S32592K Other specified fracture of left pubis, subsequent encounter for fracture with nonunion
  S32592S Other specified fracture of left pubis, sequela
  S32599A Other specified fracture of unspecified pubis, initial encounter for closed fracture
  S32599B Other specified fracture of unspecified pubis, initial encounter for open fracture
  S32599D Other specified fracture of unspecified pubis, subsequent encounter for fracture with routine healing
  S32599G Other specified fracture of unspecified pubis, subsequent encounter for fracture with delayed healing
  S32599K Other specified fracture of unspecified pubis, subsequent encounter for fracture with nonunion
  S32599S Other specified fracture of unspecified pubis, sequela
  S32601A Unspecified fracture of right ischium, initial encounter for closed fracture
  S32601B Unspecified fracture of right ischium, initial encounter for open fracture
  S32601D Unspecified fracture of right ischium, subsequent encounter for fracture with routine healing
  S32601G Unspecified fracture of right ischium, subsequent encounter for fracture with delayed healing
  S32601K Unspecified fracture of right ischium, subsequent encounter for fracture with nonunion
  S32601S Unspecified fracture of right ischium, sequela
  S32602A Unspecified fracture of left ischium, initial encounter for closed fracture
  S32602B Unspecified fracture of left ischium, initial encounter for open fracture
  S32602D Unspecified fracture of left ischium, subsequent encounter for fracture with routine healing
  S32602G Unspecified fracture of left ischium, subsequent encounter for fracture with delayed healing
  S32602K Unspecified fracture of left ischium, subsequent encounter for fracture with nonunion
  S32602S Unspecified fracture of left ischium, sequela
  S32609A Unspecified fracture of unspecified ischium, initial encounter for closed fracture
  S32609B Unspecified fracture of unspecified ischium, initial encounter for open fracture
  S32609D Unspecified fracture of unspecified ischium, subsequent encounter for fracture with routine healing
  S32609G Unspecified fracture of unspecified ischium, subsequent encounter for fracture with delayed healing
  S32609K Unspecified fracture of unspecified ischium, subsequent encounter for fracture with nonunion
  S32609S Unspecified fracture of unspecified ischium, sequela
  S32611A Displaced avulsion fracture of right ischium, initial encounter for closed fracture
  S32611B Displaced avulsion fracture of right ischium, initial encounter for open fracture
  S32611D Displaced avulsion fracture of right ischium, subsequent encounter for fracture with routine healing
  S32611G Displaced avulsion fracture of right ischium, subsequent encounter for fracture with delayed healing
  S32611K Displaced avulsion fracture of right ischium, subsequent encounter for fracture with nonunion
  S32611S Displaced avulsion fracture of right ischium, sequela
  S32612A Displaced avulsion fracture of left ischium, initial encounter for closed fracture
  S32612B Displaced avulsion fracture of left ischium, initial encounter for open fracture
  S32612D Displaced avulsion fracture of left ischium, subsequent encounter for fracture with routine healing
  S32612G Displaced avulsion fracture of left ischium, subsequent encounter for fracture with delayed healing
  S32612K Displaced avulsion fracture of left ischium, subsequent encounter for fracture with nonunion
  S32612S Displaced avulsion fracture of left ischium, sequela
  S32613A Displaced avulsion fracture of unspecified ischium, initial encounter for closed fracture
  S32613B Displaced avulsion fracture of unspecified ischium, initial encounter for open fracture
  S32613D Displaced avulsion fracture of unspecified ischium, subsequent encounter for fracture with routine healing
  S32613G Displaced avulsion fracture of unspecified ischium, subsequent encounter for fracture with delayed healing
  S32613K Displaced avulsion fracture of unspecified ischium, subsequent encounter for fracture with nonunion
  S32613S Displaced avulsion fracture of unspecified ischium, sequela
  S32614A Nondisplaced avulsion fracture of right ischium, initial encounter for closed fracture
  S32614B Nondisplaced avulsion fracture of right ischium, initial encounter for open fracture
  S32614D Nondisplaced avulsion fracture of right ischium, subsequent encounter for fracture with routine healing
  S32614G Nondisplaced avulsion fracture of right ischium, subsequent encounter for fracture with delayed healing
  S32614K Nondisplaced avulsion fracture of right ischium, subsequent encounter for fracture with nonunion
  S32614S Nondisplaced avulsion fracture of right ischium, sequela
  S32615A Nondisplaced avulsion fracture of left ischium, initial encounter for closed fracture
  S32615B Nondisplaced avulsion fracture of left ischium, initial encounter for open fracture
  S32615D Nondisplaced avulsion fracture of left ischium, subsequent encounter for fracture with routine healing
  S32615G Nondisplaced avulsion fracture of left ischium, subsequent encounter for fracture with delayed healing
  S32615K Nondisplaced avulsion fracture of left ischium, subsequent encounter for fracture with nonunion
