:======================================================================:
|    MDC 12 Diseases and Disorders of the Male Reproductive System     |
:======================================================================:

MDC 12 Assignment of Diagnosis Codes

  A1814   Tuberculosis of prostate
  0UT70ZZ Resection of Bilateral Fallopian Tubes, Open Approach
  0UT74ZZ Resection of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0UT77ZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0UT78ZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UT7FZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance

+-----------------------------------------------------------------------+
| Vaginal Delivery with O.R. Procedures Except Sterilization and/or D&C |
+-----------------------------------------------------------------------+
|                                  DRG                                  |
+-----------------------------------------------------------------------+
|                                  768                                  |
+-----------------------------------------------------------------------+

DRG 768 Vaginal Delivery with O.R. Procedures Except Sterilization and/or D&C

SECONDARY DIAGNOSIS

  Z370  Single live birth
  Z371  Single stillbirth
  Z372  Twins, both liveborn
  Z373  Twins, one liveborn and one stillborn
  Z374  Twins, both stillborn
  Z3750 Multiple births, unspecified, all liveborn
  Z3751 Triplets, all liveborn
  Z3752 Quadruplets, all liveborn
  Z3753 Quintuplets, all liveborn
  Z3754 Sextuplets, all liveborn
  Z3759 Other multiple births, all liveborn
  Z3760 Multiple births, unspecified, some liveborn
  Z3761 Triplets, some liveborn
  Z3762 Quadruplets, some liveborn
  Z3763 Quintuplets, some liveborn
  Z3764 Sextuplets, some liveborn
  Z3769 Other multiple births, some liveborn
  Z377  Other multiple births, all stillborn
  Z379  Outcome of delivery, unspecified

DELIVERY
OPERATING ROOM PROCEDURES

  10D17Z9  Manual Extraction of Products of Conception, Retained, Via Natural or Artificial Opening
  10D18Z9  Manual Extraction of Products of Conception, Retained, Via Natural or Artificial Opening Endoscopic

NON-OPERATING ROOM PROCEDURES
10D07Z3* Extraction of Products of Conception, Low Forceps, Via Natural or Artificial Opening
10D07Z4* Extraction of Products of Conception, Mid Forceps, Via Natural or Artificial Opening
10D07Z5* Extraction of Products of Conception, High Forceps, Via Natural or Artificial Opening
10D07Z6* Extraction of Products of Conception, Vacuum, Via Natural or Artificial Opening
10D07Z7* Extraction of Products of Conception, Internal Version, Via Natural or Artificial Opening
10D07Z8* Extraction of Products of Conception, Other, Via Natural or Artificial Opening
10E0XZZ* Delivery of Products of Conception, External Approach

WITH ANY OPERATING ROOM PROCEDURES EXCEPT

  0KQM0ZZ Repair Perineum Muscle, Open Approach
  0U570ZZ Destruction of Bilateral Fallopian Tubes, Open Approach
  0U573ZZ Destruction of Bilateral Fallopian Tubes, Percutaneous Approach
  0U574ZZ Destruction of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0U577ZZ Destruction of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0U578ZZ Destruction of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UB50ZZ Excision of Right Fallopian Tube, Open Approach
  0UB53ZZ Excision of Right Fallopian Tube, Percutaneous Approach
  0UB54ZZ Excision of Right Fallopian Tube, Percutaneous Endoscopic Approach
  0UB57ZZ Excision of Right Fallopian Tube, Via Natural or Artificial Opening
  0UB58ZZ Excision of Right Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UB60ZZ Excision of Left Fallopian Tube, Open Approach
  0UB63ZZ Excision of Left Fallopian Tube, Percutaneous Approach
  0UB64ZZ Excision of Left Fallopian Tube, Percutaneous Endoscopic Approach
  0UB67ZZ Excision of Left Fallopian Tube, Via Natural or Artificial Opening
  0UB68ZZ Excision of Left Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UB70ZZ Excision of Bilateral Fallopian Tubes, Open Approach
  0UB73ZZ Excision of Bilateral Fallopian Tubes, Percutaneous Approach
  0UB74ZZ Excision of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0UB77ZZ Excision of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0UB78ZZ Excision of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UJM0ZZ Inspection of Vulva, Open Approach
  0UL50CZ Occlusion of Right Fallopian Tube with Extraluminal Device, Open Approach
  0UL50DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Open Approach
  0UL50ZZ Occlusion of Right Fallopian Tube, Open Approach
  0UL53CZ Occlusion of Right Fallopian Tube with Extraluminal Device, Percutaneous Approach
  0UL53DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Percutaneous Approach
  0UL53ZZ Occlusion of Right Fallopian Tube, Percutaneous Approach
  0UL54CZ Occlusion of Right Fallopian Tube with Extraluminal Device, Percutaneous Endoscopic Approach
  0UL54DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Percutaneous Endoscopic Approach
  0UL54ZZ Occlusion of Right Fallopian Tube, Percutaneous Endoscopic Approach
  0UL57DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Via Natural or Artificial Opening
  0UL57ZZ Occlusion of Right Fallopian Tube, Via Natural or Artificial Opening
  0UL58DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
  0UL58ZZ Occlusion of Right Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UL60CZ Occlusion of Left Fallopian Tube with Extraluminal Device, Open Approach
  0UL60DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Open Approach
  0UL60ZZ Occlusion of Left Fallopian Tube, Open Approach
  0UL63CZ Occlusion of Left Fallopian Tube with Extraluminal Device, Percutaneous Approach
  0UL63DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Percutaneous Approach
  0UL63ZZ Occlusion of Left Fallopian Tube, Percutaneous Approach
  0UL64CZ Occlusion of Left Fallopian Tube with Extraluminal Device, Percutaneous Endoscopic Approach
  0UL64DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Percutaneous Endoscopic Approach
  0UL64ZZ Occlusion of Left Fallopian Tube, Percutaneous Endoscopic Approach
  0UL67DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Via Natural or Artificial Opening
  0UL67ZZ Occlusion of Left Fallopian Tube, Via Natural or Artificial Opening
  0UL68DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
  0UL68ZZ Occlusion of Left Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UL70CZ Occlusion of Bilateral Fallopian Tubes with Extraluminal Device, Open Approach
  0UL70DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Open Approach
  0UL70ZZ Occlusion of Bilateral Fallopian Tubes, Open Approach
  0UL73CZ Occlusion of Bilateral Fallopian Tubes with Extraluminal Device, Percutaneous Approach
  0UL73DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Percutaneous Approach
  0UL73ZZ Occlusion of Bilateral Fallopian Tubes, Percutaneous Approach
  0UL74CZ Occlusion of Bilateral Fallopian Tubes with Extraluminal Device, Percutaneous Endoscopic Approach
  0UL74DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Percutaneous Endoscopic Approach
  0UL74ZZ Occlusion of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0UL77DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Via Natural or Artificial Opening
  0UL77ZZ Occlusion of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0UL78DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
  0UL78ZZ Occlusion of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UT50ZZ Resection of Right Fallopian Tube, Open Approach
  0UT54ZZ Resection of Right Fallopian Tube, Percutaneous Endoscopic Approach
  0UT57ZZ Resection of Right Fallopian Tube, Via Natural or Artificial Opening
  0UT58ZZ Resection of Right Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UT5FZZ Resection of Right Fallopian Tube, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
  0UT60ZZ Resection of Left Fallopian Tube, Open Approach
  0UT64ZZ Resection of Left Fallopian Tube, Percutaneous Endoscopic Approach
  0UT67ZZ Resection of Left Fallopian Tube, Via Natural or Artificial Opening
  0UT68ZZ Resection of Left Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UT6FZZ Resection of Left Fallopian Tube, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
  0UT70ZZ Resection of Bilateral Fallopian Tubes, Open Approach
  0UT74ZZ Resection of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0UT77ZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0UT78ZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UT7FZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
  10D17Z9 Manual Extraction of Products of Conception, Retained, Via Natural or Artificial Opening
  10D17ZZ Extraction of Products of Conception, Retained, Via Natural or Artificial Opening
  10D18Z9 Manual Extraction of Products of Conception, Retained, Via Natural or Artificial Opening Endoscopic
  10D18ZZ Extraction of Products of Conception, Retained, Via Natural or Artificial Opening Endoscopic

+--------------------------------------------------+
|  Vaginal Delivery with Sterilization and/or D&C  |
+----------------+----------------+----------------+
|      MCC       |       CC       |      DRG       |
+----------------+----------------+----------------+
|      Yes       |      n/a       |      796       |
+----------------+----------------+----------------+
|       No       |      Yes       |      797       |
+----------------+----------------+----------------+
|       No       |       No       |      798       |
+----------------+----------------+----------------+

DRG 796 Vaginal Delivery with Sterilization and/or D&C with MCC
DRG 797 Vaginal Delivery with Sterilization and/or D&C with CC
DRG 798 Vaginal Delivery with Sterilization and/or D&C without CC/MCC

SECONDARY DIAGNOSIS

  Z370  Single live birth
  Z371  Single stillbirth
  Z372  Twins, both liveborn
  Z373  Twins, one liveborn and one stillborn
  Z374  Twins, both stillborn
  Z3750 Multiple births, unspecified, all liveborn
  Z3751 Triplets, all liveborn
  Z3752 Quadruplets, all liveborn
  Z3753 Quintuplets, all liveborn
  Z3754 Sextuplets, all liveborn
  Z3759 Other multiple births, all liveborn
  Z3760 Multiple births, unspecified, some liveborn
  Z3761 Triplets, some liveborn
  Z3762 Quadruplets, some liveborn
  Z3763 Quintuplets, some liveborn
  Z3764 Sextuplets, some liveborn
  Z3769 Other multiple births, some liveborn
  Z377  Other multiple births, all stillborn
  Z379  Outcome of delivery, unspecified

AND OPERATING ROOM PROCEDURES

  10D17Z9  Manual Extraction of Products of Conception, Retained, Via Natural or Artificial Opening
  10D18Z9  Manual Extraction of Products of Conception, Retained, Via Natural or Artificial Opening Endoscopic

NON-OPERATING ROOM PROCEDURES
10D07Z3* Extraction of Products of Conception, Low Forceps, Via Natural or Artificial Opening
10D07Z4* Extraction of Products of Conception, Mid Forceps, Via Natural or Artificial Opening
10D07Z5* Extraction of Products of Conception, High Forceps, Via Natural or Artificial Opening
10D07Z6* Extraction of Products of Conception, Vacuum, Via Natural or Artificial Opening
10D07Z7* Extraction of Products of Conception, Internal Version, Via Natural or Artificial Opening
10D07Z8* Extraction of Products of Conception, Other, Via Natural or Artificial Opening
10E0XZZ* Delivery of Products of Conception, External Approach

AND OPERATING ROOM PROCEDURES

  0U570ZZ Destruction of Bilateral Fallopian Tubes, Open Approach
  0U573ZZ Destruction of Bilateral Fallopian Tubes, Percutaneous Approach
  0U574ZZ Destruction of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0U577ZZ Destruction of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0U578ZZ Destruction of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UB50ZZ Excision of Right Fallopian Tube, Open Approach
  0UB53ZZ Excision of Right Fallopian Tube, Percutaneous Approach
  0UB54ZZ Excision of Right Fallopian Tube, Percutaneous Endoscopic Approach
  0UB57ZZ Excision of Right Fallopian Tube, Via Natural or Artificial Opening
  0UB58ZZ Excision of Right Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UB60ZZ Excision of Left Fallopian Tube, Open Approach
  0UB63ZZ Excision of Left Fallopian Tube, Percutaneous Approach
  0UB64ZZ Excision of Left Fallopian Tube, Percutaneous Endoscopic Approach
  0UB67ZZ Excision of Left Fallopian Tube, Via Natural or Artificial Opening
  0UB68ZZ Excision of Left Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UB70ZZ Excision of Bilateral Fallopian Tubes, Open Approach
  0UB73ZZ Excision of Bilateral Fallopian Tubes, Percutaneous Approach
  0UB74ZZ Excision of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0UB77ZZ Excision of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0UB78ZZ Excision of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UL50CZ Occlusion of Right Fallopian Tube with Extraluminal Device, Open Approach
  0UL50DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Open Approach
  0UL50ZZ Occlusion of Right Fallopian Tube, Open Approach
  0UL53CZ Occlusion of Right Fallopian Tube with Extraluminal Device, Percutaneous Approach
  0UL53DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Percutaneous Approach
  0UL53ZZ Occlusion of Right Fallopian Tube, Percutaneous Approach
  0UL54CZ Occlusion of Right Fallopian Tube with Extraluminal Device, Percutaneous Endoscopic Approach
  0UL54DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Percutaneous Endoscopic Approach
  0UL54ZZ Occlusion of Right Fallopian Tube, Percutaneous Endoscopic Approach
  0UL57DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Via Natural or Artificial Opening
  0UL57ZZ Occlusion of Right Fallopian Tube, Via Natural or Artificial Opening
  0UL58DZ Occlusion of Right Fallopian Tube with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
  0UL58ZZ Occlusion of Right Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UL60CZ Occlusion of Left Fallopian Tube with Extraluminal Device, Open Approach
  0UL60DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Open Approach
  0UL60ZZ Occlusion of Left Fallopian Tube, Open Approach
  0UL63CZ Occlusion of Left Fallopian Tube with Extraluminal Device, Percutaneous Approach
  0UL63DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Percutaneous Approach
  0UL63ZZ Occlusion of Left Fallopian Tube, Percutaneous Approach
  0UL64CZ Occlusion of Left Fallopian Tube with Extraluminal Device, Percutaneous Endoscopic Approach
  0UL64DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Percutaneous Endoscopic Approach
  0UL64ZZ Occlusion of Left Fallopian Tube, Percutaneous Endoscopic Approach
  0UL67DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Via Natural or Artificial Opening
  0UL67ZZ Occlusion of Left Fallopian Tube, Via Natural or Artificial Opening
  0UL68DZ Occlusion of Left Fallopian Tube with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
  0UL68ZZ Occlusion of Left Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UL70CZ Occlusion of Bilateral Fallopian Tubes with Extraluminal Device, Open Approach
  0UL70DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Open Approach
  0UL70ZZ Occlusion of Bilateral Fallopian Tubes, Open Approach
  0UL73CZ Occlusion of Bilateral Fallopian Tubes with Extraluminal Device, Percutaneous Approach
  0UL73DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Percutaneous Approach
  0UL73ZZ Occlusion of Bilateral Fallopian Tubes, Percutaneous Approach
  0UL74CZ Occlusion of Bilateral Fallopian Tubes with Extraluminal Device, Percutaneous Endoscopic Approach
  0UL74DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Percutaneous Endoscopic Approach
  0UL74ZZ Occlusion of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0UL77DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Via Natural or Artificial Opening
  0UL77ZZ Occlusion of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0UL78DZ Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Via Natural or Artificial Opening Endoscopic
  0UL78ZZ Occlusion of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UT50ZZ Resection of Right Fallopian Tube, Open Approach
  0UT54ZZ Resection of Right Fallopian Tube, Percutaneous Endoscopic Approach
  0UT57ZZ Resection of Right Fallopian Tube, Via Natural or Artificial Opening
  0UT58ZZ Resection of Right Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UT5FZZ Resection of Right Fallopian Tube, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
  0UT60ZZ Resection of Left Fallopian Tube, Open Approach
  0UT64ZZ Resection of Left Fallopian Tube, Percutaneous Endoscopic Approach
  0UT67ZZ Resection of Left Fallopian Tube, Via Natural or Artificial Opening
  0UT68ZZ Resection of Left Fallopian Tube, Via Natural or Artificial Opening Endoscopic
  0UT6FZZ Resection of Left Fallopian Tube, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance
  0UT70ZZ Resection of Bilateral Fallopian Tubes, Open Approach
  0UT74ZZ Resection of Bilateral Fallopian Tubes, Percutaneous Endoscopic Approach
  0UT77ZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening
  0UT78ZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening Endoscopic
  0UT7FZZ Resection of Bilateral Fallopian Tubes, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance

OR OPERATING ROOM PROCEDURES

  10D10ZZ Extraction of Products of Conception, Retained, Open Approach
  10D17ZZ Extraction of Products of Conception, Retained, Via Natural or Artificial Opening
  10D18ZZ Extraction of Products of Conception, Retained, Via Natural or Artificial Opening Endoscopic

+--------------------------------------------------------+
| Abortion with D&C, Aspiration Curettage or Hysterotomy |
+--------------------------------------------------------+
|                          DRG                           |
+--------------------------------------------------------+
|                          770                           |
+--------------------------------------------------------+

DRG 770 Abortion with D&C, Aspiration Curettage or Hysterotomy

PRINCIPAL DIAGNOSIS

  O021  Missed abortion
  O030  Genital tract and pelvic infection following incomplete spontaneous abortion
  O031  Delayed or excessive hemorrhage following incomplete spontaneous abortion
  O032  Embolism following incomplete spontaneous abortion
  O0330 Unspecified complication following incomplete spontaneous abortion
  O0331 Shock following incomplete spontaneous abortion
  O0332 Renal failure following incomplete spontaneous abortion
  O0333 Metabolic disorder following incomplete spontaneous abortion
  O0334 Damage to pelvic organs following incomplete spontaneous abortion
  O0335 Other venous complications following incomplete spontaneous abortion
  O0336 Cardiac arrest following incomplete spontaneous abortion
  O0337 Sepsis following incomplete spontaneous abortion
  O0338 Urinary tract infection following incomplete spontaneous abortion
  O0339 Incomplete spontaneous abortion with other complications
  O034  Incomplete spontaneous abortion without complication
  O035  Genital tract and pelvic infection following complete or unspecified spontaneous abortion
  O036  Delayed or excessive hemorrhage following complete or unspecified spontaneous abortion
  O037  Embolism following complete or unspecified spontaneous abortion
  O0380 Unspecified complication following complete or unspecified spontaneous abortion
  O0381 Shock following complete or unspecified spontaneous abortion
  O0382 Renal failure following complete or unspecified spontaneous abortion
  O0383 Metabolic disorder following complete or unspecified spontaneous abortion
  O0384 Damage to pelvic organs following complete or unspecified spontaneous abortion
  O0385 Other venous complications following complete or unspecified spontaneous abortion
  O0386 Cardiac arrest following complete or unspecified spontaneous abortion
  O0387 Sepsis following complete or unspecified spontaneous abortion
  O0388 Urinary tract infection following complete or unspecified spontaneous abortion
  O0389 Complete or unspecified spontaneous abortion with other complications
  O039  Complete or unspecified spontaneous abortion without complication
  O045  Genital tract and pelvic infection following (induced) termination of pregnancy
  O046  Delayed or excessive hemorrhage following (induced) termination of pregnancy
  O047  Embolism following (induced) termination of pregnancy
  O0480 (Induced) termination of pregnancy with unspecified complications
  O0481 Shock following (induced) termination of pregnancy
  O0482 Renal failure following (induced) termination of pregnancy
  O0483 Metabolic disorder following (induced) termination of pregnancy
  O0484 Damage to pelvic organs following (induced) termination of pregnancy
  O0485 Other venous complications following (induced) termination of pregnancy
  O0486 Cardiac arrest following (induced) termination of pregnancy
  O0487 Sepsis following (induced) termination of pregnancy
  O0488 Urinary tract infection following (induced) termination of pregnancy
  O0489 (Induced) termination of pregnancy with other complications
  O070  Genital tract and pelvic infection following failed attempted termination of pregnancy
  O071  Delayed or excessive hemorrhage following failed attempted termination of pregnancy
  O072  Embolism following failed attempted termination of pregnancy
  O0730 Failed attempted termination of pregnancy with unspecified complications
  O0731 Shock following failed attempted termination of pregnancy
  O0732 Renal failure following failed attempted termination of pregnancy
  O0733 Metabolic disorder following failed attempted termination of pregnancy
  O0734 Damage to pelvic organs following failed attempted termination of pregnancy
  O0735 Other venous complications following failed attempted termination of pregnancy
  O0736 Cardiac arrest following failed attempted termination of pregnancy
  O0737 Sepsis following failed attempted termination of pregnancy
  O0738 Urinary tract infection following failed attempted termination of pregnancy
  O0739 Failed attempted termination of pregnancy with other complications
  O074  Failed attempted termination of pregnancy without complication
  Z332  Encounter for elective termination of pregnancy
  Z640  Problems related to unwanted pregnancy

AND OPERATING ROOM PROCEDURES

  10A00ZZ Abortion of Products of Conception, Open Approach
  10A03ZZ Abortion of Products of Conception, Percutaneous Approach
  10A04ZZ Abortion of Products of Conception, Percutaneous Endoscopic Approach
  10A07ZZ Abortion of Products of Conception, Via Natural or Artificial Opening
  10A08ZZ Abortion of Products of Conception, Via Natural or Artificial Opening Endoscopic
  10D10ZZ Extraction of Products of Conception, Retained, Open Approach
  10D17ZZ Extraction of Products of Conception, Retained, Via Natural or Artificial Opening
  10D18ZZ Extraction of Products of Conception, Retained, Via Natural or Artificial Opening Endoscopic

+--------------------------------------------------+
| Other Antepartum Diagnoses with O.R. Procedures  |
+----------------+----------------+----------------+
|      MCC       |       CC       |      DRG       |
+----------------+----------------+----------------+
|      Yes       |      n/a       |      817       |
+----------------+----------------+----------------+
|       No       |      Yes       |      818       |
+----------------+----------------+----------------+
|       No       |       No       |      819       |
+----------------+----------------+----------------+

DRG 817 Other Antepartum Diagnoses with O.R. Procedures with MCC
DRG 818 Other Antepartum Diagnoses with O.R. Procedures with CC
DRG 819 Other Antepartum Diagnoses with O.R. Procedures without CC/MCC

PRINCIPAL DIAGNOSIS

  O0000   Abdominal pregnancy without intrauterine pregnancy
  O0001   Abdominal pregnancy with intrauterine pregnancy
  O00101  Right tubal pregnancy without intrauterine pregnancy
  O00102  Left tubal pregnancy without intrauterine pregnancy
  O00109  Unspecified tubal pregnancy without intrauterine pregnancy
  O00111  Right tubal pregnancy with intrauterine pregnancy
  O00112  Left tubal pregnancy with intrauterine pregnancy
  O00119  Unspecified tubal pregnancy with intrauterine pregnancy
  O00201  Right ovarian pregnancy without intrauterine pregnancy
  O00202  Left ovarian pregnancy without intrauterine pregnancy
  O00209  Unspecified ovarian pregnancy without intrauterine pregnancy
  O00211  Right ovarian pregnancy with intrauterine pregnancy
  O00212  Left ovarian pregnancy with intrauterine pregnancy
  O00219  Unspecified ovarian pregnancy with intrauterine pregnancy
  O0080   Other ectopic pregnancy without intrauterine pregnancy
  O0081   Other ectopic pregnancy with intrauterine pregnancy
  O0090   Unspecified ectopic pregnancy without intrauterine pregnancy
  O0091   Unspecified ectopic pregnancy with intrauterine pregnancy
  O010    Classical hydatidiform mole
  O011    Incomplete and partial hydatidiform mole
  O019    Hydatidiform mole, unspecified
  O020    Blighted ovum and nonhydatidiform mole
  O0281   Inappropriate change in quantitative human chorionic gonadotropin (hCG) in early pregnancy
  O0289   Other abnormal products of conception
  O029    Abnormal product of conception, unspecified
  O10011  Pre-existing essential hypertension complicating pregnancy, first trimester
  O10012  Pre-existing essential hypertension complicating pregnancy, second trimester
  O10013  Pre-existing essential hypertension complicating pregnancy, third trimester
  O10019  Pre-existing essential hypertension complicating pregnancy, unspecified trimester
  O10111  Pre-existing hypertensive heart disease complicating pregnancy, first trimester
  O10112  Pre-existing hypertensive heart disease complicating pregnancy, second trimester
  O10113  Pre-existing hypertensive heart disease complicating pregnancy, third trimester
  O10119  Pre-existing hypertensive heart disease complicating pregnancy, unspecified trimester
  O10211  Pre-existing hypertensive chronic kidney disease complicating pregnancy, first trimester
  O10212  Pre-existing hypertensive chronic kidney disease complicating pregnancy, second trimester
  O10213  Pre-existing hypertensive chronic kidney disease complicating pregnancy, third trimester
  O10219  Pre-existing hypertensive chronic kidney disease complicating pregnancy, unspecified trimester
  O10311  Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, first trimester
  O10312  Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, second trimester
  O10313  Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, third trimester
  O10319  Pre-existing hypertensive heart and chronic kidney disease complicating pregnancy, unspecified trimester
  O10411  Pre-existing secondary hypertension complicating pregnancy, first trimester
  O10412  Pre-existing secondary hypertension complicating pregnancy, second trimester
  O10413  Pre-existing secondary hypertension complicating pregnancy, third trimester
  O10419  Pre-existing secondary hypertension complicating pregnancy, unspecified trimester
  O10911  Unspecified pre-existing hypertension complicating pregnancy, first trimester
  O10912  Unspecified pre-existing hypertension complicating pregnancy, second trimester
  O10913  Unspecified pre-existing hypertension complicating pregnancy, third trimester
  O10919  Unspecified pre-existing hypertension complicating pregnancy, unspecified trimester
  O111    Pre-existing hypertension with pre-eclampsia, first trimester
  O112    Pre-existing hypertension with pre-eclampsia, second trimester
  O113    Pre-existing hypertension with pre-eclampsia, third trimester
  O119    Pre-existing hypertension with pre-eclampsia, unspecified trimester
  O1200   Gestational edema, unspecified trimester
  O1201   Gestational edema, first trimester
  O1202   Gestational edema, second trimester
  O1203   Gestational edema, third trimester
  O1210   Gestational proteinuria, unspecified trimester
  O1211   Gestational proteinuria, first trimester
  O1212   Gestational proteinuria, second trimester
  O1213   Gestational proteinuria, third trimester
  O1220   Gestational edema with proteinuria, unspecified trimester
  O1221   Gestational edema with proteinuria, first trimester
  O1222   Gestational edema with proteinuria, second trimester
  O1223   Gestational edema with proteinuria, third trimester
  O131    Gestational [pregnancy-induced] hypertension without significant proteinuria, first trimester
  O132    Gestational [pregnancy-induced] hypertension without significant proteinuria, second trimester
  O133    Gestational [pregnancy-induced] hypertension without significant proteinuria, third trimester
  O139    Gestational [pregnancy-induced] hypertension without significant proteinuria, unspecified trimester
  O1400   Mild to moderate pre-eclampsia, unspecified trimester
  O1402   Mild to moderate pre-eclampsia, second trimester
  O1403   Mild to moderate pre-eclampsia, third trimester
  O1410   Severe pre-eclampsia, unspecified trimester
  O1412   Severe pre-eclampsia, second trimester
  O1413   Severe pre-eclampsia, third trimester
  O1420   HELLP syndrome (HELLP), unspecified trimester
  O1422   HELLP syndrome (HELLP), second trimester
  O1423   HELLP syndrome (HELLP), third trimester
  O1490   Unspecified pre-eclampsia, unspecified trimester
  O1492   Unspecified pre-eclampsia, second trimester
  O1493   Unspecified pre-eclampsia, third trimester
  O1500   Eclampsia complicating pregnancy, unspecified trimester
  O1502   Eclampsia complicating pregnancy, second trimester
  O1503   Eclampsia complicating pregnancy, third trimester
  O151    Eclampsia complicating labor
  O159    Eclampsia, unspecified as to time period
  O161    Unspecified maternal hypertension, first trimester
  O162    Unspecified maternal hypertension, second trimester
  O163    Unspecified maternal hypertension, third trimester
  O169    Unspecified maternal hypertension, unspecified trimester
  O200    Threatened abortion
  O208    Other hemorrhage in early pregnancy
  O209    Hemorrhage in early pregnancy, unspecified
  O210    Mild hyperemesis gravidarum
  O211    Hyperemesis gravidarum with metabolic disturbance
  O212    Late vomiting of pregnancy
  O218    Other vomiting complicating pregnancy
  O219    Vomiting of pregnancy, unspecified
